列1,Column2,Column3,列12,
民族,节日,时间,省级,
蒙古族,那达慕,夏秋之交（公历七八月）,内蒙古,
蒙古族,马奶节,农历八月下旬,内蒙古,
蒙古族,祭敖包,农历五至七月,内蒙古,
傣族,泼水节,公历4月13-15日,云南,
傣族,关门节,傣历九月十五日（公历7月中旬）,云南,
傣族,开门节,傣历十二月十五日（公历10月中旬）,云南,
壮族,三月三歌会,农历三月初三,广西,
壮族,过小年,农历正月三十,广西,
壮族,陇端节,农历三月下旬至四月上旬,云南,
壮族,陀螺节,农历除夕至正月十六,广西,
壮族,花朝节,农历二月初二,广西,
壮族,吃立节,农历正月三十,广西,
壮族,蚂拐节,农历正月初一至二月初,广西,
东乡族,开斋节,伊斯兰教历10月1日,甘肃,
东乡族,古尔邦节,伊斯兰教历12月10日,甘肃,
东乡族,圣纪节,伊斯兰教历3月12日,甘肃,
布朗族,厚南节,农历三月清明节后7日,云南,
怒族,仙女节,农历三月十五日至十七日,云南,
怒族,祭谷神,农历十二月二十九日,云南,
塔塔尔族,古尔邦节,伊斯兰教历12月10日,新疆,
回族,开斋节,伊斯兰教历10月1日,宁夏、甘肃、新疆等聚居地,
回族,古尔邦节,伊斯兰教历12月10日,宁夏、甘肃、新疆等聚居地,
回族,圣纪节,伊斯兰教历3月12日,宁夏、甘肃、新疆等聚居地,
满族,灯节,正月十五,东北及全国满族聚居地,
满族,添仓节,正月二十五,东北及全国满族聚居地,
满族,锁龙,农历二月初二,东北及全国满族聚居地,
满族,虫王节,六月初六,东北及全国满族聚居地,
满族,颁金节,农历十月十三日,全国各满族聚居地,
黎族,三月三,农历三月初三,海南,
纳西族,三朵节,农历二月初八,云南,
撒拉族,开斋节,伊斯兰教历10月1日,青海,
撒拉族,古尔邦节,伊斯兰教历12月10日,青海,
撒拉族,圣纪节,伊斯兰教历3月12日,青海,
乌孜别克族,开斋节,伊斯兰教历10月1日,新疆,
乌孜别克族,古尔邦节,伊斯兰教历12月10日,新疆,
乌孜别克族,圣纪节,伊斯兰教历3月12日,新疆,
独龙族,年节,农历腊月（公历1月10日左右）,云南,
藏族,转山会,农历四月初八,四川,
藏族,采花节,农历五月初五,甘肃,
藏族,藏历元旦,藏历正月初一,西藏,
藏族,藏历农家新年,藏历十二月初一,西藏,
藏族,萨噶达瓦节,藏历四月十五日,西藏、云南,
藏族,女儿节,农历五月初四、初五,甘肃,
藏族,望果节,藏历七月,西藏,
藏族,雪顿节,公历8月18日左右,西藏,
藏族,白来日追节,藏历十月十五日,西藏,
侗族,侗年,农历十月至十一月（秋收后）,贵州,
侗族,祭牛节,农历四月初八或六月初六,贵州,
侗族,花炮节,正月初三（各地时间不同）,广西,
傈僳族,刀杆节,农历二月初八,云南,
俄罗斯族,圣诞节,公历1月7日,内蒙古,
鄂伦春族,篝火节,公历6月18日,内蒙古,
维吾尔族,开斋节,伊斯兰教历10月1日,新疆,
维吾尔族,古尔邦节,伊斯兰教历12月10日,新疆,
维吾尔族,诺鲁孜节,春分日（公历3月21日左右）,新疆,
瑶族,盘王节,农历十月十六日,广西,
瑶族,达努节,农历五月二十九日,广西,
佤族,新米节,公历8月14日左右,云南,
苗族,苗年,农历十月至十一月（秋收后）,贵州、广西,
苗族,姊妹节,农历三月十五至十七日,贵州,
彝族,火把节,农历六月二十四日,云南、四川,
彝族,彝族年,农历十月（各地略有差异）,云南、四川,
白族,三月街,农历三月十五至二十一日,云南,
白族,绕三灵,农历四月二十三至二十五日,云南,
土家族,赶年,腊月二十九或二十八（比春节早一天）,湖南、河南、重庆,
土家族,社巴节,农历正月（部分在三月）,湖南,
哈尼族,十月年,农历十月,云南,
哈尼族,苦扎扎,农历六月二十四日前后,云南,
哈萨克族,诺鲁孜节,公历3月21日（春分）,新疆,
哈萨克族,开斋节,伊斯兰教历10月1日,新疆,
高山族,丰年祭,农历七八月间,台湾,
拉祜族,葫芦节,公历4月8日（或农历十月）,云南,
拉祜族,新米节,农历八月十五,云南,
水族,端节,水历十二月（农历八月至十月）,贵州,
水族,卯节,水历九月（农历五月）,贵州,
景颇族,目瑙纵歌节,农历正月十五日,云南,
柯尔克孜族,诺劳孜,农历正月初一（公历3月前后）,新疆,
土族,纳顿节,农历七月十二至九月十五,青海,
土族,擂台会,农历二月初二,青海,
达斡尔族,阿涅节,农历正月初一,内蒙古,
达斡尔族,斡包节,农历五月十三,内蒙古,
仫佬族,依饭节,农历十月（立冬前后）,广西,
羌族,羌历年,农历十月初一,四川,
羌族,祭山会,农历三月或五月,四川,
毛南族,分龙节,农历夏至后的第一个辰日,广西,
仡佬族,吃新节,农历六月或七月（稻谷初黄时）,贵州,
仡佬族,仡佬年,农历三月初三,贵州,
锡伯族,西迁节,农历四月十八日,新疆,
锡伯族,抹黑节,农历正月十六,新疆,
阿昌族,阿露窝罗节,公历3月19日,云南,
普米族,吾昔节,农历腊月初六或初七,云南,
普米族,转山会,农历七月十五,云南,
朝鲜族,百种节,农历七月十五,吉林,
朝鲜族,流头节,农历六月十五,吉林,
保安族,开斋节,伊斯兰教历10月1日,甘肃,
保安族,古尔邦节,伊斯兰教历12月10日,甘肃,
裕固族,剪马鬃节,农历四月十一日,甘肃,
裕固族,正月大会,农历正月初十至十五,甘肃,
京族,哈节,农历六月初十（澫尾、巫头）或八月初十（山心）,广西,
塔吉克族,诺鲁孜节,春分日,新疆,
塔吉克族,皮里克节,伊斯兰教历8月14-15日,新疆,
门巴族,曲科节,藏历六月,西藏,
门巴族,主巴大法会,藏历正月,西藏,
珞巴族,旭独龙节,藏历二月,西藏,
珞巴族,昂德林节,藏历八月,西藏,
基诺族,特懋克节,公历2月6日,云南,
德昂族,泼水节,公历4月13日左右,云南,
德昂族,关门节、开门节,傣历九月十五、十二月十五,云南,
赫哲族,乌日贡节,农历五月十五前后,黑龙江,
鄂温克族,瑟宾节,公历6月18日,内蒙古,
鄂温克族,米阔鲁节,农历五月二十二,内蒙古,
布依族,六月六,农历六月初六,贵州,
布依族,查白歌节,农历六月二十一,贵州,
